Food Groups,Subgroups,Calories,Protein (g),Carbs (g),Fats (g),Sodium (g),Iron (g),Potassium (g),Cholesterol (g),Calcium (g),Serving Size (g),CO2e(g)
DV,,2000,50,275,78,2.3,0.018,4.7,0.3,1.3,,
Proteins,Red Meat,258.8235,25.8824,0,16.4706,0.0506,0.0021,0.2706,0.0871,0.0122,100,4332.9412
,WM Chicken,295.5,10.5,6.7,24.8,0.467,0.0011,0.217,0.079,0,100,471
,WM Turkey,147.0588,30.5882,0.0000,2.1176,0.0988,0.0000,0.2494,0.0800,0.0092,100.0000,644.7058824
,Salmon,194,23.5,0,10,0.061,0.00034,0.384,0.063,0.0156,100,479
,Tofu,83.6,10,1.2,5.3,0.004,0.00198,0.1298,0,0.286,100,186
,Mixed Nuts,612,18,21.6,57.6,0,0.005,0.822,0,0.145,100,206
,Egg,152.3810,12.3810,0.9524,10.4762,0.1238,0.0017,0.1190,0.3810,0.0476,100,450
Fruits,Citrus,27.7895,0.8421,13.4737,1.9649,0.0118,0.0004,0.2375,0,0.03073684211,100,440.4210526
,Stone Fruit,87.4362,1.3072,88.3079,0.2905,0,0.0003,153.9579,0,38834.85839,100,640.5228758
,Tropical,57.6923,0.7692,12.6923,0,0,0.0002769230769,0.2892307692,0,0.03,100,140.7692308
,Berries,45.7746,0.9859,10.5634,0.4225,0.0010,0.0005,0.1345,0,0.01830985915,100,257.0422535
,Melons,33.8983,0.8475,7.9096,0,0.01581920904,0.0002259887006,0.2672316384,0,0.009039548023,100,40.6779661
,Rosaceae,30,6,51,0.8,0,0.0009,0.006,0,0.065,100,257
,Tomatoes,21.42899661,1.058222055,4.695860368,0.2645555137,0.005952499058,0.0003306943921,0.2824130108,0,0.01190499812,100,153.4421979
,Avocados,160,2,8,16,0,0.0006,0.5,0,0.02,100,816
Veggies,Leafy Greens,17.0212766,1.276595745,3.404255319,0.2127659574,0.008085106383,0.0009574468085,0,0,0.03319148936,100,419.1489362
,Cruciferous,60.43956044,4.395604396,12.08791209,1.098901099,0.02714285714,0.002967032967,0.5164835165,0,0.04175824176,100,342.8571429
,Marrow,9,0.5,1,0.5,0,0,0,0,0,100,193
,Root,46.66666667,1.333333333,11.33333333,0.6666666667,0.42,0,0,0,0,100,253.3333333
,Plant Stem,14,0.75,3,0.25,0.08,0.0005,0.26,0,0.0025,100,787.5
,Allium,56,1.8,13.05,0.1,0.0025,0.00072,0.235,0,0.0145,100,255
Grains,Whole Grains,264.08451,13.38028,42.25352,4.22535,0.38028,0.001901408451,0.2288732394,0,0.09154929577,100,88.02816901
,Refined Grains,264.08451,13.38028,34.85915,4.22535,0.38028,0,0.2288732394,0,0.09154929577,100,133.8028169
Dairy,Milk,50.83333,3.375,5,2,0.04791666667,0.0000225,0.1425,0.008333333333,0.1245833333,100,176.25
,Yogurt,62.94118,5.23529,7.05882,1.52941,0.07000,0.00008,0.23412,0.00588,0.18353,100,220
,Cheese,398.82353,22.58824,3.05882,32.82353,0.64588,0.00015,0.07412,0.09882,0.68824,100,878.8235294
,Lactose-Free Milk ,50.81967,3.48361,4.91803,1.92623,0.05205,0.00005,0.16189,0.00820,0.12787,100,78.27868852
